label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
12;22049410;12;45876;13751;24886333;10;75171;935;25249279;9;85165;331
12;22751285;12;47819;8699;25204889;10;76207;4055;24806459;10;55703;2330
12;21784729;11;62259;28;29155167;11;66679;0;23392510;9;61638;541
12;24952265;11;45498;16126;28811033;13;52896;0;22303171;9;48165;3691
12;25324044;12;46054;11248;33603929;13;74003;952;25255229;8;81851;4037
12;24379853;12;39319;12654;32223299;12;93114;511;23090082;11;45420;0
12;22908020;12;46756;9742;23323933;12;88585;0;22283957;12;47433;0
12;23474047;11;39693;12941;25204382;6;77153;0;25235796;9;54211;4348
12;26689046;13;40331;0;29935068;12;69846;1364;27087120;10;51878;1132
12;24860516;12;44586;173;29239399;8;111645;5939;26888395;9;53438;11140
12;26575780;15;43048;121;26202501;7;71741;7751;28216091;14;62050;0
12;21354395;12;37487;14911;27893379;8;86971;4671;25674530;10;63670;4373
12;24446393;13;34405;3186;29440057;12;64028;0;28365548;11;69990;0
12;25053800;12;37809;13902;20799544;9;68294;0;28899978;10;77312;3348
12;25220178;12;55614;14547;30982729;9;50819;5151;27520132;8;75532;9872
12;23557646;12;43117;13663;29270651;12;50540;3161;21367962;11;57553;165
12;24136049;13;37338;63;29163734;7;118458;10220;20593693;8;63997;1809
12;26125198;12;39410;15147;31017378;9;85913;144;29125647;12;57155;46
12;24293757;12;33654;14732;28289280;7;85823;11663;24104426;7;77893;7890
12;22701320;12;47700;10140;21961516;9;59487;2393;23971868;9;67101;4285
12;22924318;12;44805;12400;26691902;11;61705;1676;24252778;11;58237;3624
12;22756986;12;47240;8156;27985223;10;53551;1039;23130653;8;76422;2102
12;20258598;12;32487;13833;28505240;9;66031;6683;24263793;9;56421;10260
12;25061013;12;37438;12083;26481775;11;71651;0;23372807;11;46504;0
12;24942498;12;35273;15960;29512764;9;62678;3425;26577380;10;59722;277
12;26234293;12;41665;9972;31706873;11;74403;0;26712670;10;79462;0
12;24849845;12;62021;102;31999003;10;73481;0;26590473;8;70477;9
12;23729619;12;43158;14718;27407563;11;57258;7912;24924186;14;60799;0
12;24721971;11;40131;13301;30078478;6;211594;0;26226016;8;56915;15490
12;20710734;12;36246;12954;26744720;10;66113;17;25201552;14;61777;0
12;25318660;12;53663;14337;26397091;11;64200;2019;23745825;12;53853;0
12;19710176;12;30281;5333;26063966;8;66601;52;22084486;9;71364;0
12;25282540;12;50685;12484;31066120;16;58307;1;26812142;8;169578;0
12;21800647;13;40745;269;26189016;7;102823;7857;24760543;8;54840;5422
12;24245499;12;47178;16016;28894196;11;80383;738;24402612;10;45992;435
12;24919968;12;52437;16544;27905677;13;57126;90;26833061;10;57634;1665
12;23543368;11;45164;14386;25086517;11;112925;0;23127819;9;59268;610
12;25854787;12;35092;15526;26296558;6;83479;1778;27861096;10;43714;3635
13;27232965;12;89425;43;31798595;12;76766;0;27402597;10;66609;1535
13;26695416;13;47667;14;31063172;11;52728;2941;25670185;12;75957;0
13;25997887;12;35531;20180;32198730;11;67970;540;27616422;11;94806;0
13;27335088;13;49020;15807;29900821;11;66027;2286;27737740;12;52416;321
13;27332025;11;83546;16206;29871697;13;57178;0;28325746;6;78154;29736
13;26395217;14;34002;0;31795226;10;66967;2189;29082093;10;59263;227
13;24650202;13;51318;10280;27537675;8;94146;4421;25601577;9;70349;1833
13;26060771;14;36470;0;30209572;12;60793;2412;26199799;9;127010;432
13;25449009;13;43196;14100;29831500;12;56695;6253;22530166;8;70646;143
13;24239871;12;45473;11904;32717288;10;75797;4922;24838421;10;66853;0
13;27361321;13;35267;12974;30777341;11;69735;3169;27562446;11;59911;0
13;24990576;12;39484;12316;28105750;10;63351;2129;26036625;11;62382;829
13;26048022;14;41754;681;28234392;13;91899;113;24148901;9;61730;4568
13;26040271;13;41470;13190;29300176;10;62796;1154;24558396;11;55856;5031
13;22766448;12;46653;11476;26574374;8;92540;12;23627109;9;46346;1394
13;26611335;12;31893;16159;31548852;11;76064;0;25726886;8;79336;0
13;24759432;13;36717;12252;32101885;11;76367;0;23584238;8;102813;1705
13;25565758;13;39511;12105;32549199;7;88491;13024;23233208;9;64825;6106
13;26986354;13;34951;13944;30734836;8;125747;4549;29318382;9;64752;3566
13;26639462;13;31930;14760;28312097;11;74741;0;28327633;12;50003;0
13;27625544;13;46496;16960;32160895;12;66013;3826;24842588;11;76238;0
13;25648681;14;48816;122;32021109;10;85358;1591;30759633;12;70472;88
13;23713131;12;46503;9653;27624115;14;69198;0;24317998;9;50708;1927
13;26416157;13;39904;12639;27807080;11;59079;0;26566895;9;67532;4654
