label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
15;26169115;13;49874;1392
15;28987949;18;37947;0
15;30677452;15;45554;165
15;29395385;16;66619;72
15;29829321;16;46637;78
15;31318823;19;60021;0
15;28757904;17;43728;17
15;28894281;12;49570;12312
15;27093402;18;46497;2
15;28437554;16;69318;73
15;33124831;16;42983;98
15;30368894;14;47269;985
15;30564983;14;53289;0
15;27313706;15;42324;8205
15;27478032;13;41418;5230
15;28547609;14;81894;2
15;29528455;16;56896;133
15;26824945;16;42468;101
15;27451746;16;58871;37
15;29513140;18;59513;0
15;31452528;10;130773;62
15;26741103;17;52749;703
15;30807668;11;88306;62
15;27409413;13;43063;98
15;28866538;14;52638;37
15;29003922;13;52620;13017
15;28709334;16;47509;53
15;26783828;16;55536;100
15;28399267;12;48693;43
15;26873192;19;67189;12
15;28590683;12;77468;745
15;29793237;21;71266;13
15;29552200;15;60701;2227
16;32444951;12;116001;432
16;30594123;16;50959;0
16;31102122;14;61468;5
16;29330938;16;52411;77
16;28489675;19;63863;29
16;30187140;16;46073;156
16;29711934;17;46267;48
16;29230305;13;48067;54
16;28806929;15;45906;86
16;29952502;13;78001;47
16;30860551;17;97421;24
16;29809356;17;52311;23
16;27520832;16;57971;54
16;28749281;17;62588;111
16;29381359;14;45347;79
16;30389343;18;83878;0
16;30348508;21;54513;16
16;31211799;24;138783;4
16;33258109;15;59399;9576
16;27849100;16;55075;139
16;31434965;17;40731;68
16;28052963;15;72903;35
16;31265712;15;111360;0
16;27937651;14;49715;1925
16;28476252;15;48355;1033
16;26455984;12;75868;92
16;30481224;12;75339;67
16;30281403;18;63147;4
16;29038186;14;75235;556
16;30432049;16;57047;414
16;31879654;17;46930;12
16;32524837;19;68035;11
16;30854084;20;38859;3
16;27933705;19;41724;0
16;29396084;20;47912;21
16;30160979;19;50065;225
16;32578346;21;66528;28
16;28153478;15;48620;290
16;31360875;15;93915;4
16;32659238;16;90639;85
17;30635096;14;61669;1216
17;27491827;13;65933;152
17;30513342;18;63643;0
17;31206217;15;50831;664
17;33321554;20;71882;4
17;31094920;15;36835;0
17;32373463;19;40069;19
17;29324392;24;43244;5
17;33929310;21;51139;38
17;28770149;15;54256;8543
17;34179949;18;105384;73
17;31543101;16;48207;132
17;31102352;14;55046;483
17;30599635;16;56852;213
17;29405197;17;36174;87
17;34532956;20;86650;9
17;29629187;19;68278;59
17;31066057;13;53048;715
17;34408261;14;72598;334
17;29777300;16;94432;0
17;33704712;15;62560;1410
17;31600472;21;36534;2
17;32148945;15;47562;149
17;29066143;15;36300;200
17;33178124;17;65162;70
17;32306199;17;48844;129
17;29991493;15;53994;34
17;31673477;15;65164;20
17;33733570;22;43270;46
17;34863305;15;87382;359
17;32915590;16;44476;3047
17;34066344;20;68329;6
17;32816423;16;84404;67
17;31272377;14;48593;605
17;28559967;20;41891;38
17;31420080;18;61414;0
17;30533054;16;65148;17
17;29815030;19;67213;18
17;33613649;17;61763;68
17;31278422;19;63519;8
18;31206910;16;38900;29
18;31365178;15;73749;291
18;32731344;20;44590;91
18;33229218;13;84877;137
18;34099493;19;75717;117
18;34082821;14;57219;96
18;30745655;18;60107;80
18;30489084;21;64271;31
18;31984128;14;73336;654
18;30375338;19;43489;28
18;31737688;15;59908;86
18;30057708;12;69900;8102
18;30893271;14;48420;126
18;32775573;21;53571;27
18;33769113;19;43920;36
18;33355927;17;59846;93
18;31103139;19;38154;5
18;32391569;20;57756;135
18;30402099;17;75718;16
18;34083524;20;123916;6
18;32336546;16;50874;172
18;35208677;24;67106;32
18;34816335;20;64360;20
18;34388329;23;90613;2
18;33882683;17;40668;269
18;33974515;17;89990;160
18;35138038;17;70280;0
18;33303578;21;68563;15
18;32283193;15;55376;2
18;34067388;22;48992;7
18;33065484;16;59856;2396
18;33426035;14;75158;14
18;34758489;21;130287;23
18;30456677;21;47574;43
18;31395844;20;44067;3
18;33873798;18;62560;7
18;29633731;14;82314;50
18;31686615;14;59384;2342
18;29455960;14;73095;280
18;34978605;17;80178;41
19;30603956;18;45357;63
19;32513274;18;71678;0
19;34245317;18;45234;224
19;32225211;15;82159;6
19;32411900;14;107970;240
19;35032523;19;59813;0
19;34104349;25;54442;2
19;34493240;21;80012;14
19;33443950;17;38780;9392
19;35180151;24;35305;2
19;32984590;18;52494;2
19;31199513;21;36304;194
19;34982082;18;67693;27
19;33090700;17;68121;66
19;30250680;17;52089;18
19;35178096;20;48896;0
19;32404876;21;66006;0
19;31737244;20;35380;111
19;28957039;16;44059;9811
19;37468797;18;68955;175
19;34909587;22;51750;29
19;34125253;23;55066;6
19;32409134;15;46670;217
19;32398640;17;62481;21
19;31038537;16;94711;20
19;34808960;23;73191;0
19;33141549;18;60614;34
19;29759257;20;53316;35
19;32834870;15;52414;43
19;34119984;18;35681;4318
19;33808393;18;57421;13
19;33518871;19;84357;46
19;34816268;24;43493;71
19;34232985;25;87688;5
19;31162406;18;60895;107
19;31912892;19;49533;107
19;33794930;20;56415;87
19;32137982;15;59546;2408
19;33613517;18;48943;438
19;36527220;18;68457;18
20;34696334;21;78495;0
20;32227605;15;66161;316
20;36198223;19;72392;0
20;34932989;19;50557;88
20;34061740;20;73966;9
20;33565945;21;45948;32
20;31901737;21;88363;27
20;33470581;19;47136;28
20;34924185;21;45204;0
20;33375595;16;54631;8
20;34832175;15;59315;209
20;35307995;23;63212;42
20;33931731;17;49776;0
20;31221464;21;40263;41
20;31232813;16;66949;4
20;32710378;25;61507;15
20;32413287;19;75357;7
20;34682323;18;41569;227
20;35856697;24;68887;2
20;36043511;17;61569;11
20;37446736;21;55807;29
20;33471381;21;48013;70
20;34385895;19;47316;0
20;34224584;14;77715;93
20;34878591;22;36431;85
20;33295721;14;58495;282
20;37100274;17;85891;339
20;33118631;19;49156;17
20;32938914;19;63958;0
20;31864501;19;48734;774
20;33641099;14;58073;97
20;33497252;20;52679;26
20;33380318;20;52382;96
20;34856128;20;38718;2
20;32488994;16;47786;100
20;32785726;21;58690;0
